rank,city,population
228,La Quinta,"37,558"
229,Martinez,"37,287"
230,Claremont,"37,266"
231,Wildomar,"36,875"
232,Temple City,"36,494"
233,Moorpark,"36,284"
234,Oildale,"36,135"
235,Foothill Farms,"35,834"
236,West Hollywood,"35,757"
237,Orangevale,"35,569"
238,Manhattan Beach,"35,506"
239,French Valley,"35,280"
240,San Juan Capistrano,"35,196"
241,La Presa,"35,033"
242,San Dimas,"34,924"
243,Pleasant Hill,"34,613"
244,Westmont,"33,913"
245,Foster City,"33,805"
246,Menlo Park,"33,780"
247,Bell,"33,559"
248,Los Gatos,"33,529"
249,Dana Point,"33,107"
250,Beverly Hills,"32,701"
251,Goleta,"32,690"
252,Fair Oaks,"32,514"
253,Desert Hot Springs,"32,512"
254,Seaside,"32,366"
255,Fallbrook,"32,267"
256,San Pablo,"32,127"
257,Orcutt,"32,034"
258,Atwater,"31,970"
259,Lawndale,"31,807"
260,Los Altos,"31,625"
261,El Paso de Robles (Paso Robles),"31,490"
262,Burlingame,"31,386"
263,Laguna Hills,"31,374"
264,La Verne,"31,334"
265,Saratoga,"31,051"
266,Spring Valley CDP,"30,998"
267,San Carlos,"30,722"
268,Santa Paula,"30,657"
269,Monterey,"30,218"
270,East Palo Alto,"30,034"
271,Atascadero,"29,773"
272,San Lorenzo,"29,581"
273,Suisun City,"29,518"
274,Banning,"29,505"
275,Lathrop,"28,701"
276,Walnut,"28,430"
277,Belmont,"28,335"
278,Twentynine Palms,"28,065"
279,Ridgecrest,"27,959"
280,Lemon Grove,"27,627"
281,Benicia,"27,131"
282,Wasco,"27,047"
283,Lemoore,"27,038"
284,South Pasadena,"26,943"
285,Sanger,"26,617"
286,Eureka,"26,512"
287,Brawley,"26,416"
288,Windsor,"26,344"
289,Norco,"26,316"
290,Temescal Valley,"26,232"
291,Ladera Ranch,"26,170"
292,Imperial Beach,"26,137"
293,Hercules,"26,016"
294,El Cerrito,"25,962"
295,North Tustin,"25,718"
296,Barstow,"25,415"
297,Lafayette,"25,391"
298,Galt,"25,383"
299,West Whittier-Los Nietos,"25,325"
300,Seal Beach,"25,242"
301,Reedley,"25,227"
302,Maywood,"25,138"
303,Soledad,"24,925"
304,Riverbank,"24,865"
305,Loma Linda,"24,791"
306,Selma,"24,674"
307,Dinuba,"24,563"
308,Mountain House,"24,499"
309,West Rancho Dominguez,"24,347"
310,Bloomington,"24,339"
311,Willowbrook,"24,295"
312,San Fernando,"23,946"
313,Bay Point,"23,896"
314,Ashland,"23,823"
315,Patterson,"23,781"
316,Rosemont,"23,510"
317,Calabasas,"23,241"
318,Millbrae,"23,216"
319,Oakdale,"23,181"
320,Laguna Beach,"23,032"
321,West Puente Valley,"22,959"
322,West Carson,"22,870"
323,Cudahy,"22,811"
324,East San Gabriel,"22,769"
325,Valinda,"22,437"
326,Winter Gardens,"22,380"
327,Marina,"22,359"
328,Corcoran,"22,339"
329,Port Hueneme,"21,954"
330,Rancho San Diego,"21,858"
331,American Canyon,"21,837"
332,Yucca Valley,"21,738"
333,Duarte,"21,727"
334,Linda,"21,654"
335,Ramona,"21,468"
336,South Lake Tahoe,"21,330"
337,Granite Bay,"21,247"
338,Lakeside,"21,152"
339,Stanford,"21,150"
340,Rosamond,"20,961"
341,Lomita,"20,921"
342,La Cañada Flintridge,"20,573"
343,Lennox,"20,323"
344,Agoura Hills,"20,299"
345,Albany,"20,271"
346,Imperial,"20,263"
347,Coronado,"20,192"
348,Stevenson Ranch,"20,178"
349,Oroville,"20,042"
350,La Crescenta-Montrose,"19,997"
351,Shafter,"19,953"
352,South San Jose Hills,"19,855"
353,Mead Valley,"19,819"
354,Hermosa Beach,"19,728"
355,Casa de Oro-Mount Helix,"19,576"
356,South El Monte,"19,567"
357,Orinda,"19,514"
358,Arvin,"19,495"
359,East Hemet,"19,432"
360,Santa Fe Springs,"19,219"
361,Chowchilla,"19,039"
362,Pinole,"19,022"
363,Dixon,"18,988"
364 TIE,Castaic and Greenfield city,"18,937"
365,Prunedale,"18,885"
366,Cameron Park,"18,881"
367,Arcata,"18,857"
368,Rosedale,"18,639"
369,Arroyo Grande,"18,441"
370,Blythe,"18,317"
371,Nipomo,"18,176"
372,Laguna Woods,"17,644"
373,Coalinga,"17,590"
374,El Segundo,"17,272"
375,Live Oak,"17,038"
376,Rancho Mirage,"16,999"
377,Bostonia,"16,882"
378,Moraga,"16,870"
379,Truckee,"16,729"
380,Susanville,"16,728"
381,Clearlake,"16,685"
382,Ukiah,"16,607"
383,Olivehurst,"16,595"
384,Fillmore,"16,419"
385,Artesia,"16,395"
386,McKinleyville,"16,262"
387,Valle Vista,"16,194"
388,Kerman,"16,016"
389,Ripon,"16,013"
390,Parkway,"15,962"
391,Rio Linda,"15,944"
392,Cherryland,"15,808"
393,Vincent,"15,714"
394,La Palma,"15,581"
395,El Sobrante,"15,524"
396,Isla Vista,"15,500"
397,Woodcrest,"15,378"
398,Discovery Bay,"15,358"
399,Alamo,"15,314"
400,Walnut Park,"15,214"
401,East Rancho Dominguez,"15,114"
402,Pacific Grove,"15,090"
403,California City,"14,973"
404 TIE,Coto de Caza and Red Bluff,"14,710"
405,Alpine,"14,696"
406,Parlier,"14,576"
407,Lemon Hill,"14,496"
408,Los Osos,"14,465"
409,Mill Valley,"14,231"
410,Livingston,"14,172"
411,McFarland,"14,161"
412,Hawaiian Gardens,"14,149"
413,Lamont,"14,049"
414,El Sobrante CDP,"14,039"
415,North Fair Oaks,"14,027"
416,Grass Valley,"14,016"
417,Oak Park,"13,898"
418,Salida,"13,886"
419,Phelan,"13,859"
420,Auburn,"13,776"
421,Avenal,"13,696"
422,North Auburn,"13,452"
423,Palos Verdes Estates,"13,347"
424,King City,"13,332"
425,Avocado Heights,"13,317"
426,Carpinteria,"13,264"
427,Lake Los Angeles,"13,187"
428,Grand Terrace,"13,150"
429,Larkspur,"13,064"
430,Solana Beach,"12,941"
431,Tehachapi,"12,939"
432,Bonita,"12,917"
433,Emeryville,"12,905"
434,Marysville,"12,844"
435,San Anselmo,"12,830"
436,Big Bear City,"12,738"
437,Grover Beach,"12,701"
438,Lindsay,"12,659"
439,Mendota,"12,595"
440,Fortuna,"12,516"
441,San Marino,"12,513"
442,Camp Pendleton South,"12,468"
443,Lake Arrowhead,"12,401"
444,Kingsburg,"12,380"
445,Commerce,"12,378"
446,Lakeland Village,"12,364"
447,Newman,"12,351"
448,Sun Village,"12,345"
449,Scotts Valley,"12,224"
450,Alum Rock,"12,042"
451,Signal Hill,"11,848"
452,Half Moon Bay,"11,795"
453,Los Alamitos,"11,780"
454,Winton,"11,709"
455,Crestline,"11,650"
456,Tamalpais-Homestead Valley,"11,492"
457,Quartz Hill,"11,447"
458,View Park-Windsor Hills,"11,419"
459,Garden Acres,"11,398"
460,Hillsborough,"11,387"
461,Marina del Rey,"11,373"
462,Diamond Springs,"11,345"
463,Fairview,"11,341"
464,Healdsburg,"11,340"
465,Anderson,"11,323"
466,Piedmont,"11,270"
467,Sierra Madre,"11,268"
468,La Riviera,"11,252"
469,Home Gardens,"11,203"
470,Canyon Lake,"11,082"
471,Clayton,"11,070"
472,Country Club,"10,777"
473,Morro Bay,"10,757"
474,Placerville,"10,747"
475,Sonoma,"10,739"
476,Muscoy,"10,719"
477,Delhi,"10,656"
478,Malibu,"10,654"
479,Rossmoor,"10,625"
480,Farmersville,"10,397"
481,San Diego Country Estates,"10,395"
482,East Whittier,"10,394"
483,Shasta Lake,"10,371"
484,Del Aire,"10,338"
485,Exeter,"10,321"
486,Citrus,"10,243"
487,Corte Madera,"10,222"
488,Valley Center,"10,087"
489,Calimesa,"10,026"
490,Rio Vista,"10,005"
491,Soquel,"9,980"
492,Capitola,"9,938"
493,Charter Oak,"9,739"
494,Rodeo,"9,653"
495,Orange Cove,"9,649"
496,Blackhawk,"9,637"
497,Spring Valley Lake,"9,598"
498,Golden Hills,"9,578"
499,Mentone,"9,557"
500,Bonadelle Ranchos-Madera Ranchos,"9,551"
501,Good Hope,"9,468"
502,Oak Hills,"9,450"
503,West Athens,"9,393"
504,Madera Acres,"9,162"
505,Tiburon,"9,146"
506,Rio del Mar,"9,128"
507,Waterford,"9,120"
508,Live Oak city,"9,106"
509,Cloverdale,"8,996"
510,Midway City,"8,825"
511,Gonzales,"8,647"
512,Montecito,"8,638"
513,August,"8,628"
514,Alondra Park,"8,569"
515,Topanga,"8,560"
516,Taft,"8,546"
517,University of California-Davis,"8,525"
518,Larkfield-Wikiup,"8,492"
519,Los Altos Hills,"8,489"
520,Templeton,"8,386"
521,Orosi,"8,329"
522,Orland,"8,298"
523,Rolling Hills Estates,"8,280"
524 TIE,Corning and Bermuda Dunes,"8,244"
525,Mecca,"8,219"
526,Plumas Lake,"8,126"
527 TIE,Firebaugh and Fort Irwin,"8,096"
528,Pismo Beach,"8,072"
529,Guadalupe,"8,057"
530,Oroville East,"8,038"
531,Westlake Village,"8,029"
532,Thousand Palms,"7,967"
533,South San Gabriel,"7,920"
534,Gold River,"7,844"
535,Yreka,"7,807"
536,Magalia,"7,795"
537,Earlimart,"7,679"
538,Ojai,"7,637"
539,Fairfax,"7,605"
540,Cotati,"7,584"
541,Sebastopol,"7,521"
542 TIE,Castroville and Highgrove,"7,515"
543,Hughson,"7,481"
544,Escalon,"7,472"
545,Acton,"7,431"
546,Gridley,"7,421"
547,Woodlake,"7,419"
548,Interlaken,"7,368"
549,Camp Pendleton North,"7,367"
550,Vandenberg Village,"7,308"
551,Sausalito,"7,269"
552,Piñon Hills,"7,258"
553,Alta Sierra,"7,204"
554,Thermalito,"7,198"
555,Mammoth Lakes,"7,191"
556,Atherton,"7,188"
557,Oceano,"7,183"
558,Garnet,"7,118"
559,Winters,"7,115"
560,Pollock Pines,"7,112"
561,El Rio,"7,037"
562,San Martin,"7,008"
563,Fort Bragg,"6,983"
564,Franklin,"6,919"
565,Heber,"6,896"
566,Loomis,"6,836"
567 TIE,Kentfield and Contra Costa Centre,"6,808"
568,East Foothills,"6,803"
569,Homeland,"6,772"
570,Nuevo,"6,733"
571,Fowler,"6,700"
572,Desert Palms,"6,686"
573,Crescent City,"6,673"
574,Aptos,"6,664"
575,Ladera Heights,"6,654"
576,Mira Monte,"6,618"
577,Lemoore Station,"6,568"
578 TIE,Calipatria and South Monrovia Island,"6,515"
579,Cherry Valley,"6,509"
580,Joshua Tree,"6,489"
581,Colusa,"6,411"
582,Ben Lomond,"6,337"
583,Silver Lakes,"6,317"
584,Willows,"6,293"
585,Cottonwood,"6,268"
586,Lucas Valley-Marinwood,"6,259"
587,Hidden Valley Lake,"6,235"
588 TIE,Oak View and Boyes Hot Springs,"6,215"
589,Huron,"6,206"
590,Jamul,"6,179"
591,Solvang,"6,126"
592,Gustine,"6,110"
593,Fruitridge Pocket,"6,102"
594,East Pasadena,"6,021"
595,Las Flores,"5,995"
596,Lake Mathews,"5,972"
597,West Modesto,"5,965"
598,Wilton,"5,958"
599,Oakhurst,"5,945"
600,Rancho Murieta,"5,903"
601,Villa Park,"5,843"
602,Durham,"5,834"
603,Saranap,"5,830"
604,Pleasure Point,"5,821"
605,Dos Palos,"5,798"
606,La Habra Heights,"5,682"
607,Cambria,"5,678"
608,Keyes,"5,672"
609,Holtville,"5,605"
610,Bear Valley Springs,"5,592"
611,Rancho Calaveras,"5,590"
612,Palermo,"5,555"
613,East Porterville,"5,549"
614,Williams,"5,538"
615,Eucalyptus Hills,"5,517"
616,Greenacres,"5,496"
617,El Granada,"5,481"
618,Old Fig Garden,"5,477"
619,Strawberry,"5,447"
620,Elverta,"5,435"
621,St. Helena,"5,430"
622,Boulder Creek,"5,429"
623,Kensington,"5,428"
624,Mayflower Village,"5,402"
625,Tara Hills,"5,364"
626,Lucerne Valley,"5,331"
627,Lake San Marcos,"5,328"
628,Woodside,"5,309"
629,Running Springs,"5,268"
630,Calistoga,"5,228"
631,Hilmar-Irwin,"5,164"
632,Buellton,"5,161"
633,Lake Wildwood,"5,158"
634,Salton City,"5,155"
635,Ione,"5,141"
636,Bret Harte,"5,135"
637,El Cerrito CDP,"5,058"
638,Big Bear Lake,"5,046"
639,Lakeport,"5,026"
640,Yosemite Lakes,"5,022"
641,Jackson,"5,019"
642,Sonora,"5,003"
643,Willits,"4,988"
644,Goshen,"4,968"
645,Camino Tassajara,"4,951"
646,Twin Lakes,"4,944"
647,Burbank CDP,"4,940"
648,Needles,"4,931"
649,Myrtletown,"4,882"
650,Denair,"4,865"
651,Brisbane,"4,851"
652,Mayfair,"4,831"
653,Highlands-Baywood Park,"4,767"
654,Paradise,"4,764"
655,Indian Wells,"4,757"
656,Wrightwood,"4,720"
657,Mojave,"4,699"
658,Mather,"4,698"
659,Shingle Springs,"4,660"
660,Sunnyside,"4,627"
661,Guerneville,"4,552"
662,Bonsall,"4,546"
663,Carmel Valley Village,"4,524"
