,case,date,time,location,beat,bias
161,21-1802935,03/01/2021,10:00 PM,1800 BLOCK OF G ST,3B,anti-sexual orientation
162,21-61838,03/05/2021,11:22 PM,3400 BLOCK OF 9TH AVE,6A,anti-race/ethnicity/ancestry
163,21-65432,03/09/2021,07:29 PM,400 BLOCK OF BROADWAY,4A,anti-race/ethnicity/ancestry
164,21-67171,03/11/2021,03:59 PM,2300 BLOCK OF OAK HARBOUR DR,1B,anti-race/ethnicity/ancestry
165,21-1803761,03/17/2021,11:00 AM,950 BLOCK OF FLORIN RD,4C,anti-race/ethnicity/ancestry
166,21-73613,03/17/2021,11:12 PM,5900 BLOCK OF FOLSOM BLVD,6D,anti-race/ethnicity/ancestry
167,21-75882,03/20/2021,05:01 PM,700 BLOCK OF N B ST,3A,anti-sexual orientation
168,21-76600,03/21/2021,10:51 AM,2200 BLOCK OF CLUB CENTER DR,1A,anti-religion
169,21-78986,03/23/2021,11:35 PM,6300 BLOCK OF CALVINE RD,5C,anti-race/ethnicity/ancestry
170,21-79194,03/24/2021,06:00 AM,700 BLOCK OF N B ST,3A,anti-sexual orientation
171,21-80588,03/25/2021,07:22 PM,65TH STREET EXPY / ELDER CREEK RD,6C,anti-race/ethnicity/ancestry
172,21-83393,03/28/2021,02:21 PM,1400 BLOCK OF 21ST ST,3B,anti-race/ethnicity/ancestry
173,21-86056,03/31/2021,11:20 AM,4600 BLOCK OF DEBRALEE WAY,2A,anti-race/ethnicity/ancestry
174,21-89201,04/01/2021,12:00 PM,2900 BLOCK OF 29TH AVE,4B,anti-race/ethnicity/ancestry
175,21-87274,04/01/2021,02:30 PM,5400 BLOCK OF BANFIELD DR,1A,anti-religion
176,21-106863,04/03/2021,11:00 AM,1400 BLOCK OF O ST,3A,anti-race/ethnicity/ancestry
177,21-92890,04/06/2021,03:45 PM,QUAY CT / HAVENSIDE CIR,4C,anti-race/ethnicity/ancestry
