,case,date,time,location,beat,bias
235,21-196424,07/12/2021,02:30 PM,3700 BLOCK OF 7TH AVE,6A,anti-sexual orientation
236,21-199617,07/16/2021,05:25 PM,65TH STREET EXPY / MCMAHON DR,6C,anti-race/ethnicity/ancestry
237,21-200485,07/17/2021,03:00 PM,2000 BLOCK OF K ST,3B,anti-sexual orientation
238,21-202245,07/17/2021,01:30 PM,2100 BLOCK OF MEER WAY,4B,anti-race/ethnicity/ancestry
239,21-209480,07/18/2021,08:00 PM,200 BLOCK OF NATALINO CIR,1A,anti-sexual orientation
240,21-204746,07/21/2021,04:12 PM,7400 BLOCK OF CANDLEWOOD WAY,5A,anti-race/ethnicity/ancestry
241,21-204867,07/21/2021,05:57 PM,4500 BLOCK OF 25TH AVE,6B,anti-race/ethnicity/ancestry
242,21-205621,07/22/2021,12:52 PM,1800 BLOCK OF DEL PASO BLVD,2C,anti-sexual orientation
243,21-205885,07/22/2021,05:23 PM,10TH ST / S ST,3A,anti-race/ethnicity/ancestry
244,21-213365,07/29/2021,06:27 PM,3900 BLOCK OF 32ND ST,6A,anti-race/ethnicity/ancestry
245,21-216507,07/31/2021,05:30 PM,2100 BLOCK OF 22ND ST,3B,anti-sexual orientation
246,21-231565,08/09/2021,08:00 PM,2505 RIVERSIDE BLVD,4A,anti-race/ethnicity/ancestry
247,21-229920,08/13/2021,08:40 AM,COSUMNES RIVER BLVD / FRANKLIN BLVD,5C,anti-race/ethnicity/ancestry
248,21-230874,08/14/2021,06:14 PM,7290 FRANKLIN BLVD,5B,anti-race/ethnicity/ancestry
249,21-235715,08/19/2021,02:06 PM,2800 STONECREEK DR,1C,anti-race/ethnicity/ancestry
250,21-236467,08/20/2021,08:31 AM,1800 BLOCK OF 19TH ST,3A,anti-race/ethnicity/ancestry
251,21-237867,08/21/2021,05:11 PM,4500 BLOCK OF MACK RD,5B,anti-sexual orientation
252,21-238194,08/22/2021,4:00 AM,500 BLOCK OF LAS PALMAS AVE,2B,anti-sexual orientation
253,21-1810775,08/22/2021,11:00 AM,1700 BLOCK OF K ST,3B,anti-race/ethnicity/ancestry
254,21-239803,08/22/2021,11:00 AM,1700 BLOCK OF K ST,3B,anti-race/ethnicity/ancestry
255,21-245578,08/28/2021,12:00 PM,700 BLOCK OF T ST,3A,anti-race/ethnicity/ancestry
256,21-244942,08/28/2021,03:30 PM,1300 BLOCK OF ARCADE BLVD,2B,anti-sexual orientation
257,21-246501,08/30/2021,08:53 AM,8600 BLOCK OF W STOCKTON BLVD,5C,anti-race/ethnicity/ancestry
258,21-248313,08/30/2021,08:30 PM,2800 BLOCK OF STONECREEK DR,1C,anti-sexual orientation
259,21-250966,09/03/2021,08:55 AM,500 BLOCK OF 21ST ST,3B,anti-race/ethnicity/ancestry
260,21-257087,09/08/2021,10:26 PM,1100 BLOCK OF SONOMA AVE,2B,anti-race/ethnicity/ancestry
261,21-258042,09/09/2021,06:24 PM,HOWE AVE / UNIVERSITY AVE,6E,anti-race/ethnicity/ancestry
262,21-258807,09/10/2021,12:38 PM,7500 BLOCK OF 21ST ST,5A,anti-race/ethnicity/ancestry
263,21-264237,09/10/2021,06:00 PM,1400 BLOCK OF G ST,3A,anti-race/ethnicity/ancestry
264,21-259806,09/11/2021,10:11 AM,2800 BLOCK OF NEW MARKET DR,1A,anti-race/ethnicity/ancestry
265,21-261308,09/12/2021,08:27 PM,2000 BLOCK OF STOCKTON BLVD,6B,anti-race/ethnicity/ancestry
266,21-261691,09/13/2021,08:46 AM,59TH ST / US 50 EB,6B,anti-sexual orientation
267,21-262977,09/14/2021,04:01 AM,3700 BLOCK OF 4TH AVE,6A,anti-race/ethnicity/ancestry
268,21-262810,09/14/2021,09:20 AM,300 BLOCK OF T ST,3A,anti-race/ethnicity/ancestry
269,21-264318,09/15/2021,02:08 PM,2600 BLOCK OF 25TH ST,4A,anti-sexual orientation
270,21-1811961,09/16/2021,02:00 PM,300 BLOCK OF MORRISON AVE,2A,anti-race/ethnicity/ancestry
271,21-265617,09/16/2021,04:41 PM,1500 BLOCK OF 13TH AVE,4A,anti-religion
272,21-268867,09/19/2021,08:36 PM,3300 BLOCK OF HIGH ST,2B,anti-race/ethnicity/ancestry
273,21-273756,09/24/2021,09:53 AM,800 BLOCK OF U ST,3A,anti-race/ethnicity/ancestry
274,21-274236,09/24/2021,06:01 PM,ARENA BLVD / I 5 NB,1A,anti-race/ethnicity/ancestry
275,21-277311,09/27/2021,07:13 PM,400 BLOCK OF MARINER POINT WAY,4C,anti-race/ethnicity/ancestry
276,21-1812546,09/28/2021,07:50 AM,30TH ST / H ST,6D,anti-race/ethnicity/ancestry
